Plot Title: DL1
#,"Date Time, GMT-05:00","Pressure, in Hg (LGR S/N: 20098500, SEN S/N: 10751992)","Temp, °C (LGR S/N: 20098520, SEN S/N: 10762331, LBL: Tamb)","RH, % (LGR S/N: 21098500, SEN S/N: 10263331)","Solar Radiation, W/m² (LGR S/N: 20034090, SEN S/N: 23073988)","MRT, °C (LGR S/N: 20098500, SEN S/N: 20496099, LBL: MRT schwarz)","Wind Speed, mph (LGR S/N: 20198500, SEN S/N: 21706789)","Gust Speed, mph (LGR S/N: 20178500, SEN S/N: 23706789)","Wind Direction, ø (LGR S/N: 20198500, SEN S/N: 21706789)","DewPoint, °C (LGR S/N: 20095520, SEN S/N: 10732331, LBL: Tamb)","SkyCover, Fraction (LGR S/N: 20095520, SEN S/N: 10732331, LBL: Tamb)"
140,01/06/19 07:00:00 PM,29.10671667,1.068703704,58.01666667,0.6,0.220925926,0.743333333,2.12,113.5666667,-6.287037037,0.8
141,01/06/19 08:00:00 PM,29.11115,0.491759259,65.26666667,0.6,-0.090740741,1.49,4.608333333,183.25,-5.277777778,1
142,01/06/19 09:00:00 PM,29.11311667,1.405925926,59.61666667,0.6,0.993055556,1.246666667,5.35,229.2666667,-5.62037037,1
143,01/06/19 10:00:00 PM,29.13185,2.462777778,55.7,0.6,2.141111111,1.996666667,6.223333333,115.9166667,-5.490740741,1
144,01/06/19 11:00:00 PM,29.1461,1.180555556,73.61666667,0.6,1.236203704,5.476666667,12.575,12.18333333,-3.027777778,1
145,01/07/19 12:00:00 AM,29.15691667,0.273240741,75.13333333,0.6,0.051296296,4.105,7.72,11.05,-3.62037037,0
146,01/07/19 01:00:00 AM,29.17366667,0.102407407,73.01666667,0.6,-0.199351852,2.123333333,3.731666667,120.1333333,-4.166666667,0
147,01/07/19 02:00:00 AM,29.20366667,0.129814815,72.56666667,0.6,-0.185277778,0.866666667,2.37,185.1333333,-4.231481481,0
148,01/07/19 03:00:00 AM,29.21693333,-0.302222222,76.76666667,0.6,-0.667037037,0.993333333,2.37,67.56666667,-3.898148148,0
149,01/07/19 04:00:00 AM,29.21155,-1.043518519,80.23333333,0.6,-1.608611111,1.246666667,2.991666667,79.31666667,-4.018518519,0
150,01/07/19 05:00:00 AM,29.21055,-1.761388889,82.43333333,0.6,-2.227962963,0.866666667,2.49,80.25,-4.351851852,0
151,01/07/19 06:00:00 AM,29.21301667,-2.213518519,83.76666667,0.6,-2.649722222,1.996666667,4.858333333,107.2166667,-4.601851852,0
152,01/07/19 07:00:00 AM,29.20663333,-2.484444444,84.03333333,3.316666667,-2.991018519,0.866666667,2.37,182.3333333,-4.824074074,0
153,01/07/19 08:00:00 AM,29.19581667,-2.151018519,82.96666667,38.33333333,-2.180555556,2.493333333,4.725,219.6333333,-4.657407407,0
154,01/07/19 09:00:00 AM,29.19926667,-1.298796296,80.4,82.91666667,-0.869537037,3.366666667,5.973333333,181.15,-4.25,0
155,01/07/19 10:00:00 AM,29.19136667,0.612222222,74.08333333,96.25,1.101481481,3.12,5.973333333,174.35,-3.481481481,0
156,01/07/19 11:00:00 AM,29.14953333,1.198518519,70.65,81.03333333,1.56537037,3.736666667,7.223333333,176.9333333,-3.537037037,0
157,01/07/19 12:00:00 PM,29.12791667,1.430092593,69.66666667,77.5,1.728425926,3.616666667,6.35,173.1666667,-3.518518519,0.8
158,01/07/19 01:00:00 PM,29.10573333,1.49787037,68.93333333,51.26666667,1.683148148,4.355,8.216666667,173.1666667,-3.574074074,1
159,01/07/19 02:00:00 PM,29.09985,1.402685185,69.26666667,34.98333333,1.425185185,4.728333333,8.336666667,175.7666667,-3.62962963,1
160,01/07/19 03:00:00 PM,29.09935,1.493333333,68.88333333,19.98333333,1.438888889,4.846666667,7.97,168.2333333,-3.592592593,1
161,01/07/19 04:00:00 PM,29.09148333,1.40712963,69.13333333,3.1,1.275833333,3.115,5.855,173.9,-3.62962963,0.8
162,01/07/19 05:00:00 PM,29.0954,0.698148148,76.78333333,0.6,0.703518519,2.12,4.98,201.55,-2.962962963,1
163,01/07/19 06:00:00 PM,29.09195,-0.436944444,92.65,0.6,-0.492962963,2.493333333,3.981666667,175.5,-1.490740741,0.5
164,01/07/19 07:00:00 PM,29.08703333,-0.343796296,95.26666667,0.6,-0.46037037,1.246666667,2.743333333,186.3,-1,0.8
165,01/07/19 08:00:00 PM,29.07128333,-0.381203704,95.78333333,0.6,-0.512037037,1.12,2.996666667,160.25,-0.953703704,0.5
166,01/07/19 09:00:00 PM,29.06291667,-0.770092593,95.41666667,0.6,-1.071388889,0.993333333,2.493333333,161.9,-1.416666667,0.5
167,01/07/19 10:00:00 PM,29.04423333,-0.57287037,91.23333333,0.6,-0.990925926,2.24,4.11,168.2333333,-1.805555556,1
168,01/07/19 11:00:00 PM,29.02601667,-0.423055556,89,0.6,-0.760277778,2.865,4.981666667,167.05,-2,1
169,01/08/19 12:00:00 AM,29.01613333,-0.371666667,87.45,0.6,-0.605462963,3.983333333,7.593333333,166.1,-2.194444444,1
170,01/08/19 01:00:00 AM,29.00976667,-0.516388889,85.85,0.6,-0.746481481,3.366666667,5.973333333,171.5,-2.601851852,1
171,01/08/19 02:00:00 AM,29.00828333,-0.446388889,83.88333333,0.6,-0.85462963,1.12,3.116666667,120.3666667,-2.842592593,1
172,01/08/19 03:00:00 AM,29.0019,-0.671296296,82.15,0.6,-1.038240741,2.615,4.361666667,195.6833333,-3.333333333,0.8
173,01/08/19 04:00:00 AM,28.99353333,-0.685462963,80.31666667,0.6,-1.0575,2.993333333,5.601666667,168.6833333,-3.648148148,0.8
174,01/08/19 05:00:00 AM,28.97978333,-1.190740741,82.38333333,0.6,-1.413148148,1.623333333,3.365,162.3833333,-3.824074074,0.8
175,01/08/19 06:00:00 AM,28.98076667,-1.219259259,83.38333333,0.6,-1.642592593,2.743333333,4.61,170.8,-3.666666667,0.5
176,01/08/19 07:00:00 AM,28.99796667,-1.924907407,89.68333333,2.266666667,-2.184166667,3.108333333,6.225,134.9333333,-3.388888889,1
